Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Copies	Source	Entry Date	OCLC	Work id
5015237	The 7 Habits of Highly Effective People	5	Covey, Stephen R.				Free Press (2004), Edition: 15th Annv, Paperback	2004		4.5			The 7 Habits of Highly Effective People par Stephen R. Covey (2004)	384 p.; 8.3 inches	0.3 livres (poids)	8.3 pouces	1.1 pouces	5.4 pouces	8.3 x 5.4 x 1.1 inches	384							Your library	English	German	BF637.S8C68	[0743269519]	0743269519, 9780743269513	Achievement|Character|Characters|Efficiency|Formal discipline|Habits > Popular works|Self-actualization (Psychology)|Self-actualization (psychology)|Success > Psychological aspects|Success--Psychological aspects	158	Applied psychology > Philosophy and Psychology > Psychology	1	Amazon.com	[2006-07-25]		3319
5015238	A L'Ombre Des Jeunes Filles En Fleurs (Folio Series: No.1946)	3	Proust, Marcel				Gallimard Jeunesse (1988), Paperback	1988		5			A L'Ombre Des Jeunes Filles En Fleurs (Folio Series: No.1946) par Marcel Proust (1988)	568 p.; 7.06 inches	0.65 livres (poids)	7.06 pouces	1.03 pouces	6.08 pouces	7.06 x 6.08 x 1.03 inches	568							Your library	English	French	PQ2631.R63A97313	[2070380513]	2070380513, 9782070380510		843.912	Early 20th Century 1901- > French fiction > French literature > Literature	1	Amazon.com	[2006-07-25]		10119719
5015241	Le Cote De Guermantes	1	Proust, Marcel				Folio (2000), Paperback	2000		5			Le Cote De Guermantes par Marcel Proust (2000)	765 p.; 7.64 inches	0.83 livres (poids)	7.64 pouces	1.32 pouces	3.6 pouces	7.64 x 3.6 x 1.32 inches	765							Your library	English	French	PQ2631.R63C7413	[2070392457]	2070392457, 9782070392452		843.912	Early 20th Century 1901- > French fiction > French literature > Literature	1	Amazon.com	[2006-07-25]		10119746
5015243	Alice in Wonderland (Wordsworth Collection)	1	Carroll, Lewis				NTC/Contemporary Publishing Company (1998), Edition: Reprint, Paperback	1998		5			Alice in Wonderland (Wordsworth Collection) par Lewis Carroll (1998)	288 p.; 7.64 inches	0.53 livres (poids)	7.64 pouces	0.71 pouces	4.96 pouces	7.64 x 4.96 x 0.71 inches	288							Your library	English	French	PZ7.D684Ank	[1853260029]	1853260029, 9781853260025	Alice (Ficticious character : Carroll) > Fiction|Alice (Fictitious character : Carroll)|Alice (Fictitious character : Carroll) > Fiction|Alice (Fictitious character : Carroll) > Juvenile fiction|Carroll, Lewis, 1832-1898 > Adaptations > History and criticism|Carroll, Lewis, 1832-1898 > Appreciation > English-speaking countries|Carroll, Lewis, 1832-1898. Alice's adventures in Wonderland|Carroll, Lewis, 1832-1898. Alice's adventures in wonderland|Carroll, Lewis, 1832-1898. Through the looking glass|Children's stories|Children's stories, English|Children's stories, English > Adaptations > History and criticism|Children's stories, English|Fantasy|Fantasy Fiction, English|Fantasy fiction|Fantasy fiction, English|Fantasy fiction, English > Adaptations > History and criticism|Nonsense verses|Nonsense verses, English|Popular culture > English-speaking countries > History > 20th century|Through the looking glass|fantasy|fantasy fiction	823.8	English fiction > English literature > Literature > Victorian period 1837-1900	1	Amazon.com	[2006-07-25]		777000
5015245	Les Bébés de la consigne automatique	1	Murakami, Ryû				J'ai lu (1999), Paperback	1999		5			Les Bébés de la consigne automatique par Ryû Murakami (1999)	509 p.; 7.01 inches	0.53 livres (poids)	7.01 pouces	1.1 pouces	4.02 pouces	7.01 x 4.02 x 1.1 inches	509							Your library	English	Japanese	PL856.U696K613	[2290050245]	2290050245, 9782290050248	Bildungsromane|Tokyo (Japan) > Fiction	813	American Fiction > American literature > Literature	1	Amazon.com	[2006-07-25]		57702
5015246	La Bibliothèque de Warburg : Version mixte	1	Roubaud, Jacques				Seuil (2002), Paperback	2002		5			La Bibliothèque de Warburg : Version mixte par Jacques Roubaud (2002)	313 p.; 7.8 inches	1.32 livres (poids)	7.8 pouces	0.87 pouces	5.59 pouces	7.8 x 5.59 x 0.87 inches	313							Your library	English	French		[2020534614]	2020534614, 9782020534611				1	Amazon.com	[2006-07-25]		7720311
5015248	La boucle (Fiction & Cie)	1	Roubaud, Jacques				Seuil (1993), Unknown Binding	1993		5			La boucle (Fiction & Cie) par Jacques Roubaud (1993)	579 p.; 7.8 inches	1.32 livres (poids)	7.8 pouces	1.1 pouces	5.51 pouces	7.8 x 5.51 x 1.1 inches	579							Your library	English	French	PQ2678.O77B6813	[2020191199]	2020191199, 9782020191197		843.914	Early 20th Century 1901- > French fiction > French literature > Literature	1	Amazon.com	[2006-07-25]		7728043
5015251	Ce qui fut sans lumière	1	Bonnefoy, Yves				Gallimard (1995), Paperback	1995		5			Ce qui fut sans lumière par Yves Bonnefoy (1995)	168 p.; 6.69 inches	0.31 livres (poids)	6.69 pouces	0.39 pouces	4.17 pouces	6.69 x 4.17 x 0.39 inches	168							Your library	English	French	PQ2603.O533C413	[2070328252]	2070328252, 9782070328253		841.914	Early 20th Century 1901- > French literature > French poetry > Literature	1	Amazon.com	[2006-07-25]		1281881
5015255	Le Chameau sauvage	1	Jaenada, Philippe				J'ai lu (1998), Paperback	1998		5			Le Chameau sauvage par Philippe Jaenada (1998)	381 p.; 7.09 inches	0.44 livres (poids)	7.09 pouces	0.55 pouces	4.33 pouces	7.09 x 4.33 x 0.55 inches	381							Your library	English	French		[2290049522]	2290049522, 9782290049525		843.914	Early 20th Century 1901- > French fiction > French literature > Literature	1	Amazon.com	[2006-07-25]		999531
5015257	Les Chants De Maldoror/Poesies/Lettres	1	Lautreamont				Editions Flammarion (date?), Unknown Binding	date?		5			Les Chants De Maldoror/Poesies/Lettres par Lautreamont (date?)	7.09 inches	0.5 livres (poids)	7.09 pouces	0.79 pouces	4.33 pouces	7.09 x 4.33 x 0.79 inches								Your library	English	French	PQ2220.D723	[2080702084]	2080702084, 9782080702081	Lautr�eamont, comte de, 1846-1870 > Translations into English	841.8	French literature > French poetry > Later 19th century, 1848-1900 > Literature	1	Amazon.com	[2006-07-25]		150240
